2025-10-25 20:15:43.817 | INFO | ShellBackgroundResponse(success=True, pid=3150, description='Successfully started program: CLASSPATH=/data/local/tmp/DroidCast_raw.apk app_process / ink.mol.droidcast_raw.Main > /dev/null')
2025-10-25 20:15:43.820 | INFO | Reuse forward: ForwardItem(serial='127.0.0.1:16384', local='tcp:20255', remote='tcp:53516')
2025-10-25 20:15:43.823 | INFO | DroidCast_raw = http://127.0.0.1:20255/screenshot?width=1280&height=720
2025-10-25 20:15:44.085 | INFO | DroidCast = offline
2025-10-25 20:15:44.338 | INFO | DroidCast = offline
2025-10-25 20:15:44.598 | INFO | DroidCast = online
2025-10-25 20:15:44.917 | DEBUG | MAIN_CHECK 加载模板图像: ./assets/handler/MAIN_CHECK.png
2025-10-25 20:15:44.956 | DEBUG | MAIN_CHECK 模板图像加载成功, shape: (45, 43, 3)
2025-10-25 20:15:44.981 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:44.983 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:45.583 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0732, 阈值: 0.85, 匹配位置: (7, 12)
2025-10-25 20:15:45.584 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:45.781 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:45.783 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:45.916 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:45.917 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:46.041 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:46.044 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:46.168 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:46.170 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:46.309 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:46.310 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:46.437 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:46.438 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:46.561 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:46.562 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:46.690 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:46.691 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:46.824 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:46.824 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:46.960 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:46.962 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:47.122 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:47.123 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:47.246 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:47.247 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:47.367 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:47.369 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:47.506 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:47.508 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:47.664 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:47.665 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:47.791 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:47.792 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:47.908 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:47.910 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:48.045 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:48.046 | DEBUG | MAIN_CHECK 模板匹配结果: False
2025-10-25 20:15:48.175 | DEBUG | MAIN_CHECK 模板匹配相似度: 0.0647, 阈值: 0.85, 匹配位置: (20, 11)
2025-10-25 20:15:48.176 | DEBUG | MAIN_CHECK 模板匹配结果: False
