2025-11-09 00:09:05.046 | INFO | Bind task ['Pcr']
2025-11-09 00:09:05.050 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-09 00:09:05.052 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-09 00:09:05.053 | INFO | Found 1 devices total
2025-11-09 00:09:05.054 | INFO | Available devices: ['127.0.0.1:16384']
2025-11-09 00:09:05.055 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-09 00:09:06.057 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-09 00:09:06.058 | INFO | Found 1 devices total
2025-11-09 00:09:06.060 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-11-09 00:09:06.073 | INFO | Available devices (status='device'): 1
2025-11-09 00:09:06.074 | INFO | Selected device: 127.0.0.1:16384
2025-11-09 00:09:06.076 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-09 00:09:06.078 | INFO | Connecting to 127.0.0.1:16384 (trial 1/3)
2025-11-09 00:09:07.080 | INFO | Connected to device: 127.0.0.1:16384
2025-11-09 00:09:07.081 | INFO | AdbDevice = AdbDevice(serial=127.0.0.1:16384)
2025-11-09 00:09:07.093 | INFO | Detected package: com.bilibili.priconne
2025-11-09 00:09:07.094 | INFO | PackageName = com.bilibili.priconne
2025-11-09 00:09:07.096 | INFO | Device initialized successfully
2025-11-09 00:09:07.097 | INFO | Early initializing MaaTouch
2025-11-09 00:09:07.098 | INFO | [bold]<<< MAATOUCH INIT >>>[/bold]
2025-11-09 00:09:07.099 | INFO | Disable stuck detection
2025-11-09 00:09:07.101 | INFO | [bold]<<< UI ENSURE PAGE_TEAM_BATTLE >>>[/bold]
2025-11-09 00:09:07.102 | INFO | UI get current page
2025-11-09 00:09:07.103 | INFO | Update droidcast resolution
2025-11-09 00:09:07.114 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-09 00:09:07.152 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-09 00:09:07.153 | INFO | Droidcast resolution: (720, 1280)
2025-11-09 00:09:07.155 | INFO | Reuse forward: ForwardItem(serial='127.0.0.1:16384', local='tcp:20648', remote='tcp:53516')
2025-11-09 00:09:07.256 | DEBUG | Loaded template for button 'TEAM_BATTLE' from './assets/ui/TEAM_BATTLE.png'
2025-11-09 00:09:07.264 | DEBUG | Loaded template for button 'MAIN_CHECK' from './assets/ui/MAIN_CHECK.png'
2025-11-09 00:09:07.270 | DEBUG | Loaded template for button 'TEAM_BATTLE_CHECK' from './assets/ui/TEAM_BATTLE_CHECK.png'
2025-11-09 00:09:07.272 | INFO | UI = page_team_battle
2025-11-09 00:09:07.273 | INFO | Already at page_team_battle
2025-11-09 00:09:07.274 | INFO |  成功进入公会战！
2025-11-09 00:09:12.233 | INFO | Bind task ['Pcr']
2025-11-09 00:09:12.238 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-09 00:09:12.239 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-09 00:09:12.240 | INFO | Found 1 devices total
2025-11-09 00:09:12.242 | INFO | Available devices: ['127.0.0.1:16384']
2025-11-09 00:09:12.243 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-09 00:09:13.255 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-09 00:09:13.257 | INFO | Found 1 devices total
2025-11-09 00:09:13.259 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-11-09 00:09:13.260 | INFO | Available devices (status='device'): 1
2025-11-09 00:09:13.261 | INFO | Selected device: 127.0.0.1:16384
2025-11-09 00:09:13.263 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-09 00:09:13.264 | INFO | Connecting to 127.0.0.1:16384 (trial 1/3)
2025-11-09 00:09:14.267 | INFO | Connected to device: 127.0.0.1:16384
2025-11-09 00:09:14.268 | INFO | AdbDevice = AdbDevice(serial=127.0.0.1:16384)
2025-11-09 00:09:14.287 | INFO | Detected package: com.bilibili.priconne
