2025-11-11 19:46:38.208 | INFO | Available devices: []
2025-11-11 19:46:38.208 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 19:46:41.214 | INFO | Found 0 devices total
2025-11-11 19:46:41.215 | INFO | Available devices (status='device'): 0
2025-11-11 19:46:41.217 | ERROR | No available devices found
2025-11-11 19:46:41.218 | CRITICAL | No devices available
2025-11-11 19:46:41.219 | INFO | 可能的原因:
2025-11-11 19:46:41.219 | INFO |   - MuMu 模拟器未启动
2025-11-11 19:46:41.221 | INFO |   - ADB 连接未建立
2025-11-11 19:46:41.221 | INFO |   - 模拟器 ADB 端口配置错误
2025-11-11 19:46:41.222 | WARNING | Emulator not running, trial 1/4
2025-11-11 19:46:41.223 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 19:46:41.226 | INFO | Found 0 devices total
2025-11-11 19:46:41.227 | INFO | Available devices: []
2025-11-11 19:46:41.228 | INFO | Found 0 devices total
2025-11-11 19:46:41.229 | INFO | Available devices: []
2025-11-11 19:46:41.230 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 19:46:44.234 | INFO | Found 0 devices total
2025-11-11 19:46:44.236 | INFO | Available devices (status='device'): 0
2025-11-11 19:46:44.238 | ERROR | No available devices found
2025-11-11 19:46:44.239 | CRITICAL | No devices available
2025-11-11 19:46:44.240 | INFO | 可能的原因:
2025-11-11 19:46:44.241 | INFO |   - MuMu 模拟器未启动
2025-11-11 19:46:44.242 | INFO |   - ADB 连接未建立
2025-11-11 19:46:44.243 | INFO |   - 模拟器 ADB 端口配置错误
2025-11-11 19:46:44.243 | WARNING | Emulator not running, trial 2/4
2025-11-11 19:46:44.245 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 19:46:44.246 | INFO | Found 0 devices total
2025-11-11 19:46:44.248 | INFO | Available devices: []
2025-11-11 19:46:44.249 | INFO | Found 0 devices total
2025-11-11 19:46:44.250 | INFO | Available devices: []
2025-11-11 19:46:44.250 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 19:54:02.745 | INFO | Bind task ['Pcr']
2025-11-11 19:54:02.750 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 19:54:02.751 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 19:54:02.752 | INFO | Found 1 devices total
2025-11-11 19:54:02.753 | INFO | Available devices: ['127.0.0.1:16384']
2025-11-11 19:54:02.754 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 19:54:03.758 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 19:54:03.759 | INFO | Found 1 devices total
2025-11-11 19:54:03.761 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-11-11 19:54:03.762 | INFO | Available devices (status='device'): 1
2025-11-11 19:54:03.764 | INFO | Selected device: 127.0.0.1:16384
2025-11-11 19:54:03.765 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 19:54:03.767 | INFO | Connecting to 127.0.0.1:16384 (trial 1/3)
2025-11-11 19:54:04.769 | INFO | Connected to device: 127.0.0.1:16384
2025-11-11 19:54:04.770 | INFO | AdbDevice = AdbDevice(serial=127.0.0.1:16384)
2025-11-11 19:54:04.814 | INFO | Detected package: com.bilibili.priconne
2025-11-11 19:54:04.815 | INFO | PackageName = com.bilibili.priconne
2025-11-11 19:54:04.817 | INFO | Device initialized successfully
2025-11-11 19:54:04.818 | INFO | Early initializing MaaTouch
2025-11-11 19:54:04.819 | INFO | [bold]<<< MAATOUCH INIT >>>[/bold]
2025-11-11 19:54:04.820 | INFO | Disable stuck detection
2025-11-11 19:54:04.822 | INFO | [bold]<<< UI ENSURE PAGE_TRAIN >>>[/bold]
2025-11-11 19:54:04.823 | INFO | UI get current page
2025-11-11 19:54:04.823 | INFO | Update droidcast resolution
2025-11-11 19:54:04.851 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-11 19:54:05.206 | INFO | ^ 10 1280 720 255
2025-11-11 19:54:05.207 | INFO | $ 255
2025-11-11 19:54:05.208 | INFO | MaaTouch stream connected
2025-11-11 19:54:05.209 | INFO | max_contact: 10; max_x: 1280; max_y: 720; max_pressure: 255
2025-11-11 19:54:05.734 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-11 19:54:05.735 | INFO | Droidcast resolution: (720, 1280)
2025-11-11 19:54:05.737 | INFO | Create forward: ForwardItem(serial='127.0.0.1:16384', local='tcp:20224', remote='tcp:53516')
2025-11-11 19:54:05.750 | ERROR | ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-11-11 19:54:08.751 | INFO | [bold]<<< DROIDCAST INIT >>>[/bold]
2025-11-11 19:54:08.752 | INFO | Stopping DroidCast
2025-11-11 19:54:08.784 | INFO | Update droidcast resolution
2025-11-11 19:54:08.797 | INFO | Device Orientation = 1 (HOME key on the right)
2025-11-11 19:54:08.798 | INFO | Droidcast resolution: (720, 1280)
2025-11-11 19:54:08.800 | INFO | Pushing DroidCast apk
2025-11-11 19:54:08.924 | INFO | Starting DroidCast apk
2025-11-11 19:54:08.933 | INFO | ShellBackgroundResponse(success=True, pid=4142, description='Successfully started program: CLASSPATH=/data/local/tmp/DroidCast_raw.apk app_process / ink.mol.droidcast_raw.Main > /dev/null')
2025-11-11 19:54:08.937 | INFO | Reuse forward: ForwardItem(serial='127.0.0.1:16384', local='tcp:20224', remote='tcp:53516')
2025-11-11 19:54:08.939 | INFO | DroidCast_raw = http://127.0.0.1:20224/screenshot?width=1280&height=720
2025-11-11 19:54:09.209 | INFO | DroidCast = online
2025-11-11 19:54:09.637 | DEBUG | Loaded template for button 'TEAM_BATTLE' from './assets/ui/TEAM_BATTLE.png'
2025-11-11 19:54:09.674 | DEBUG | Loaded template for button 'MAIN_CHECK' from './assets/ui/MAIN_CHECK.png'
2025-11-11 19:54:09.676 | INFO | UI = page_main
2025-11-11 19:54:09.678 | INFO | Goto page_train
2025-11-11 19:54:09.678 | INFO | [bold]<<< UI GOTO PAGE_TRAIN >>>[/bold]
2025-11-11 19:54:09.684 | DEBUG | Loaded template for button 'TRAIN_CHECK' from './assets/ui/TRAIN_CHECK.png'
2025-11-11 19:54:09.694 | INFO | UI page switch: page_main -> page_menu
2025-11-11 19:54:09.695 | INFO | Click at (1165, 703)
2025-11-11 19:54:09.819 | INFO | UI page switch: page_main -> page_menu
2025-11-11 19:54:09.821 | INFO | Click at (1183, 696)
2025-11-11 19:54:09.983 | DEBUG | Loaded template for button 'TEAM_BATTLE_CHECK' from './assets/ui/TEAM_BATTLE_CHECK.png'
2025-11-11 19:54:09.989 | DEBUG | Loaded template for button 'MENU_CHECK' from './assets/ui/MENU_CHECK.png'
2025-11-11 19:54:10.447 | INFO | UI page switch: page_menu -> page_train
2025-11-11 19:54:10.448 | INFO | Click at (239, 450)
2025-11-11 19:54:10.572 | INFO | UI page switch: page_menu -> page_train
2025-11-11 19:54:10.573 | INFO | Click at (227, 448)
2025-11-11 19:54:12.080 | INFO | Arrive page_train
2025-11-11 19:54:12.080 | INFO | 成功进入训练场！
2025-11-11 19:57:16.784 | INFO | Assets extract
2025-11-11 19:57:16.970 | INFO | Module: character(15)
2025-11-11 19:57:16.992 | INFO | Module: handler(2)
2025-11-11 19:57:17.014 | INFO | Module: train(2)
2025-11-11 19:57:17.102 | INFO | Module: ui(9)
2025-11-11 20:01:35.361 | INFO | Bind task ['Pcr']
2025-11-11 20:01:35.365 | INFO | Current config: Serial='127.0.0.1:16384', PackageName='auto'
2025-11-11 20:01:35.367 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 20:01:35.368 | INFO | Found 1 devices total
2025-11-11 20:01:35.369 | INFO | Available devices: ['127.0.0.1:16384']
2025-11-11 20:01:35.370 | INFO | Attempting to connect to 127.0.0.1:16384
2025-11-11 20:01:36.373 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 20:01:36.375 | INFO | Found 1 devices total
2025-11-11 20:01:36.377 | INFO |   [1] 127.0.0.1:16384 - Status: device
2025-11-11 20:01:36.378 | INFO | Available devices (status='device'): 1
2025-11-11 20:01:36.379 | INFO | Selected device: 127.0.0.1:16384
2025-11-11 20:01:36.381 | INFO | Found device: 127.0.0.1:16384 (device)
2025-11-11 20:01:36.382 | INFO | Connecting to 127.0.0.1:16384 (trial 1/3)
2025-11-11 20:01:37.384 | INFO | Connected to device: 127.0.0.1:16384
